GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; Households - One race-- - White,Total; Margin of Error; Households - One race-- - White,Median income (dollars); Estimate; Households - One race-- - White,Median income (dollars); Margin of Error; Households - One race-- - White,Total; Estimate; Households - One race-- - Black or African American,Total; Margin of Error; Households - One race-- - Black or African American,Median income (dollars); Estimate; Households - One race-- - Black or African American,Median income (dollars); Margin of Error; Households - One race-- - Black or African American,Total; Estimate; Households - One race-- - American Indian and Alaska Native,Total; Margin of Error; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; Households - One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; Households - One race-- - American Indian and Alaska Native,Total; Estimate; Households - One race-- - Asian,Total; Margin of Error; Households - One race-- - Asian,Median income (dollars); Estimate; Households - One race-- - Asian,Median income (dollars); Margin of Error; Households - One race-- - Asian,Total; Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; Households - One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; Households - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; Households - One race-- - Some other race,Total; Margin of Error; Households - One race-- - Some other race,Median income (dollars); Estimate; Households - One race-- - Some other race,Median income (dollars); Margin of Error; Households - One race-- - Some other race,Total; Estimate; Households - Two or more races,Total; Margin of Error; Households - Two or more races,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Margin of Error; Households - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Families - Married-couple families,Total; Margin of Error; FAMILIES - Families - Married-couple families,Median income (dollars); Estimate; FAMILIES - Families - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Families - Married-couple families,"Total; Estimate; FAMILIES - Families - Female householder, no husband present","Total; Margin of Error; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Families - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Families - Female householder, no husband present","Total; Estimate; FAMILIES - Families - Male householder, no wife present","Total; Margin of Error; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Families - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
1400000US39035101101,39035101101,"Census Tract 1011.01, Cuyahoga County, Ohio",920,71,14103,1334,37.7,8.3,14505,3750,56.3,7.8,14179,3535,0.0,3.2,-,**,1.6,2.0,-,**,0.0,3.2,-,**,2.0,2.3,-,**,2.4,2.5,-,**,10.9,4.6,18026,12792,33.2,7.2,15469,5397,9.6,5.4,16250,13993,39.6,7.8,13804,2230,38.9,8.4,13030,5725,12.0,3.3,24444,20676,258,76,10435,5545,68.2,15.0,6528,10052,31.8,15.0,13889,53108,26.7,13.7,14792,81968,72.1,13.5,7500,9593,1.2,2.3,-,**,662,72,14937,4729,41.7,10.4,13707,4287,36.7,10.2,13060,3409,5.0,4.0,18672,31421,58.3,10.4,17500,6460,45.8,10.9,13575,2995,12.5,6.3,26181,14153,24.8,(X),(X),(X),24.0,(X),(X),(X),25.1,(X),(X),(X)
1400000US39035101102,39035101102,"Census Tract 1011.02, Cuyahoga County, Ohio",2641,175,41605,6621,81.8,7.0,44292,6217,15.7,6.6,23047,5520,0.0,1.1,-,**,0.7,0.9,-,**,0.0,1.1,-,**,0.0,1.1,-,**,1.8,2.1,-,**,3.0,3.3,103347,97594,79.1,8.0,43802,5664,10.3,4.6,23799,21228,50.5,6.7,45625,10457,28.6,5.7,47115,36025,10.5,3.3,20260,16735,890,179,56328,21518,27.3,12.8,48135,29534,72.7,12.8,71090,5138,59.0,14.3,70307,8928,38.2,14.4,49115,13066,2.8,3.3,-,**,1751,216,30972,5710,42.3,9.1,27809,5027,31.6,9.0,24088,4022,10.7,7.5,62139,32040,57.7,9.1,34129,20668,43.1,10.8,31071,12848,14.6,7.3,103269,23335,18.4,(X),(X),(X),9.3,(X),(X),(X),23.0,(X),(X),(X)
1400000US39035101200,39035101200,"Census Tract 1012, Cuyahoga County, Ohio",1369,140,19408,2406,71.7,7.1,22114,3052,21.4,6.9,10708,4966,2.0,2.2,-,**,1.2,1.8,-,**,0.0,2.2,-,**,1.9,2.3,-,**,1.8,1.5,12292,7774,17.8,7.0,12384,4693,59.5,8.0,22607,2784,6.4,4.1,8250,12855,38.7,6.0,31607,17106,35.4,6.6,13496,2446,19.4,4.8,19783,4333,493,107,21513,9091,55.0,12.4,19858,33911,45.0,12.4,21842,8528,57.4,16.1,37560,27505,29.4,13.9,14018,4527,13.2,9.2,64375,78692,876,143,16917,4657,49.3,11.5,14488,4905,43.9,11.8,13780,2244,5.4,4.0,38828,20319,50.7,11.5,19135,5928,40.2,10.9,16196,5661,10.5,6.3,22266,40363,23.0,(X),(X),(X),20.3,(X),(X),(X),24.1,(X),(X),(X)
1400000US39035101300,39035101300,"Census Tract 1013, Cuyahoga County, Ohio",752,87,16250,3031,60.0,9.3,17716,4372,35.5,9.4,12604,3424,2.5,2.8,-,**,0.0,3.9,-,**,0.0,3.9,-,**,0.4,0.9,-,**,1.6,1.8,-,**,4.8,3.5,11667,24625,56.3,9.3,18233,4287,7.4,4.6,10263,16888,43.4,8.5,14777,5520,32.2,8.4,19265,4596,17.0,4.4,16375,3025,250,65,14069,3987,48.4,16.2,13309,3908,51.6,16.2,21094,6648,29.2,13.8,45469,28152,48.8,17.0,10250,9860,22.0,14.4,20677,9535,502,89,15918,2589,41.2,11.8,14488,1421,41.0,11.6,14467,1414,0.2,1.5,-,**,58.8,11.8,18661,3707,54.2,11.8,17976,5524,4.6,4.4,29097,848,24.5,(X),(X),(X),17.2,(X),(X),(X),22.3,(X),(X),(X)
1400000US39035101400,39035101400,"Census Tract 1014, Cuyahoga County, Ohio",701,77,23460,2556,67.8,10.3,23110,3771,22.3,10.1,20417,8218,3.3,3.5,-,**,4.9,4.4,26429,19329,0.0,4.2,-,**,1.9,2.0,-,**,0.0,4.2,-,**,11.0,6.5,17083,15373,58.6,10.4,24157,6821,3.7,4.4,-,**,37.9,10.0,27845,9820,43.2,8.4,24385,6741,15.1,5.2,20435,3023,414,80,28611,4489,45.7,11.0,28233,5734,54.3,11.0,32569,14153,46.6,12.4,34306,12368,41.8,13.4,27019,4163,11.6,8.8,42885,47496,287,76,20296,4520,55.7,17.0,21848,3289,54.0,16.8,21576,3308,1.7,2.8,-,**,44.3,17.0,16343,5680,27.5,13.0,12625,10460,16.7,14.6,17222,6812,33.4,(X),(X),(X),37.2,(X),(X),(X),24.4,(X),(X),(X)
1400000US39035101501,39035101501,"Census Tract 1015.01, Cuyahoga County, Ohio",892,82,24708,4218,61.0,9.1,28904,4973,27.2,7.8,16422,5126,0.3,0.6,-,**,0.0,3.3,-,**,0.0,3.3,-,**,5.7,5.4,26875,4408,5.7,4.9,9952,30497,16.5,7.7,27169,7634,55.0,9.3,28531,4821,1.6,1.4,23333,41908,51.6,6.9,27556,4829,40.7,6.8,20625,5630,6.2,4.0,29063,13256,527,61,26860,3065,55.4,10.7,25000,5607,44.6,10.7,33239,9800,39.7,12.7,45707,11740,44.4,12.0,19844,7342,15.9,11.3,28403,3092,365,84,20208,7241,39.5,18.5,23750,17221,28.2,16.8,20208,15684,11.2,8.9,44236,18631,60.5,18.5,18580,7260,44.4,16.3,15776,3863,16.2,13.6,50114,56566,28.3,(X),(X),(X),34.2,(X),(X),(X),17.8,(X),(X),(X)
1400000US39035101603,39035101603,"Census Tract 1016.03, Cuyahoga County, Ohio",809,106,18327,2244,67.6,9.8,19335,2093,26.9,8.4,15076,3568,0.0,3.6,-,**,0.0,3.6,-,**,0.0,3.6,-,**,4.0,3.0,20500,16956,1.5,1.7,86250,123078,27.8,7.7,18914,5990,50.1,9.6,20313,4018,3.0,2.8,15921,1510,32.9,8.6,15761,4274,51.9,9.2,19653,4196,12.2,5.3,24583,7812,497,98,21313,5958,42.5,10.5,16106,3539,57.5,10.5,27961,2839,41.4,12.7,36563,11133,50.7,12.3,17500,4764,7.8,6.1,9886,14363,312,87,13818,2005,38.1,16.1,13641,5135,38.1,16.1,13641,5135,0.0,9.2,-,**,61.9,16.1,13945,2855,57.1,15.9,13359,3209,4.8,7.1,-,**,33.0,(X),(X),(X),35.8,(X),(X),(X),25.6,(X),(X),(X)
1400000US39035101700,39035101700,"Census Tract 1017, Cuyahoga County, Ohio",1024,106,28784,6263,53.0,8.2,27204,5520,37.8,7.6,45461,18150,0.8,1.3,-,**,2.3,3.6,-,**,0.0,2.9,-,**,2.1,2.4,-,**,3.9,3.8,19881,2389,16.3,4.8,43229,32925,42.6,7.2,20714,12759,9.7,6.7,5240,2337,52.4,8.6,38125,17203,31.6,8.6,26944,8951,6.3,3.5,27500,13163,657,104,29831,4562,63.0,10.1,26842,10831,37.0,10.1,31272,3643,34.1,11.8,54125,15990,64.7,11.9,21677,8358,1.2,1.4,-,**,367,99,16553,13519,44.1,17.1,18929,19264,39.8,17.1,15833,18453,4.4,4.0,32000,4978,55.9,17.1,15972,29585,43.9,14.5,15855,36283,12.0,8.1,16250,46314,30.1,(X),(X),(X),26.8,(X),(X),(X),30.0,(X),(X),(X)
1400000US39035101800,39035101800,"Census Tract 1018, Cuyahoga County, Ohio",790,119,21341,2557,64.2,9.8,22401,11328,28.9,9.3,19688,8878,0.0,3.7,-,**,0.0,3.7,-,**,0.0,3.7,-,**,4.7,4.6,"2,500-",***,2.3,2.2,-,**,24.3,8.2,17632,9003,45.6,9.1,28707,1606,13.9,8.7,28500,13253,29.6,8.0,21282,6977,38.1,9.5,11681,10645,18.4,4.6,28672,11012,366,83,29087,3050,52.5,14.3,25750,16884,47.5,14.3,31154,14030,44.8,12.7,36250,9602,38.8,16.2,16912,15995,16.4,12.0,18421,9753,424,102,12353,8105,43.9,13.7,13750,13039,29.5,12.9,13359,11141,14.4,11.7,20568,31668,56.1,13.7,9945,11149,38.0,13.6,9570,5294,18.2,11.0,20850,15544,30.8,(X),(X),(X),24.9,(X),(X),(X),35.8,(X),(X),(X)
